Date,Forward,Contract,Route,Price
1/19/2024,M3,M_Apr_2024,BPI5TC,15625
1/19/2024,Q0,Q_1_2024,BPI5TC,14087.5
1/19/2024,Q1,Q_2_2024,BPI5TC,15700
1/19/2024,Q2,Q_3_2024,BPI5TC,14400
1/19/2024,Q3,Q_4_2024,BPI5TC,14093
1/19/2024,Y0,Y_2024,BPI5TC,14525
1/19/2024,Y1,Y_2025,BPI5TC,12650
1/19/2024,Y2,Y_2026,BPI5TC,12029
1/19/2024,Y3,Y_2027,BPI5TC,11864
1/22/2024,M0,M_Jan_2024,BPI5TC,12875
1/22/2024,M1,M_Feb_2024,BPI5TC,13200
1/22/2024,M2,M_Mar_2024,BPI5TC,15150
1/22/2024,M3,M_Apr_2024,BPI5TC,15350
1/22/2024,Q0,Q_1_2024,BPI5TC,13725
1/22/2024,Q1,Q_2_2024,BPI5TC,15250
1/22/2024,Q2,Q_3_2024,BPI5TC,14200
1/22/2024,Q3,Q_4_2024,BPI5TC,13871
1/22/2024,Y0,Y_2024,BPI5TC,14250
1/22/2024,Y1,Y_2025,BPI5TC,12400
1/22/2024,Y2,Y_2026,BPI5TC,11989
1/22/2024,Y3,Y_2027,BPI5TC,11836
1/23/2024,M0,M_Jan_2024,BPI5TC,12950
1/23/2024,M1,M_Feb_2024,BPI5TC,13550
1/23/2024,M2,M_Mar_2024,BPI5TC,15475
1/23/2024,M3,M_Apr_2024,BPI5TC,15625
1/23/2024,Q0,Q_1_2024,BPI5TC,14000
1/23/2024,Q1,Q_2_2024,BPI5TC,15600
1/23/2024,Q2,Q_3_2024,BPI5TC,14425
1/23/2024,Q3,Q_4_2024,BPI5TC,13996
1/23/2024,Y0,Y_2024,BPI5TC,14512.5
1/23/2024,Y1,Y_2025,BPI5TC,12625
1/23/2024,Y2,Y_2026,BPI5TC,12000
1/23/2024,Y3,Y_2027,BPI5TC,11850
1/24/2024,M0,M_Jan_2024,BPI5TC,13275
1/24/2024,M1,M_Feb_2024,BPI5TC,14700
1/24/2024,M2,M_Mar_2024,BPI5TC,16250
1/24/2024,M3,M_Apr_2024,BPI5TC,16400
1/24/2024,Q0,Q_1_2024,BPI5TC,14750
1/24/2024,Q1,Q_2_2024,BPI5TC,16300
1/24/2024,Q2,Q_3_2024,BPI5TC,14925
1/24/2024,Q3,Q_4_2024,BPI5TC,14482
1/24/2024,Y0,Y_2024,BPI5TC,15125
1/24/2024,Y1,Y_2025,BPI5TC,12800
1/24/2024,Y2,Y_2026,BPI5TC,12146
1/24/2024,Y3,Y_2027,BPI5TC,11914
1/25/2024,M0,M_Jan_2024,BPI5TC,13075
1/25/2024,M1,M_Feb_2024,BPI5TC,14125
1/25/2024,M2,M_Mar_2024,BPI5TC,15825
1/25/2024,M3,M_Apr_2024,BPI5TC,15850
1/25/2024,Q0,Q_1_2024,BPI5TC,14325
1/25/2024,Q1,Q_2_2024,BPI5TC,15825
1/25/2024,Q2,Q_3_2024,BPI5TC,14500
1/25/2024,Q3,Q_4_2024,BPI5TC,14168
1/25/2024,Y0,Y_2024,BPI5TC,14687.5
1/25/2024,Y1,Y_2025,BPI5TC,12625
1/25/2024,Y2,Y_2026,BPI5TC,12046
1/25/2024,Y3,Y_2027,BPI5TC,11886
1/26/2024,M0,M_Jan_2024,BPI5TC,13025
1/26/2024,M1,M_Feb_2024,BPI5TC,13675
1/26/2024,M2,M_Mar_2024,BPI5TC,15675
1/26/2024,M3,M_Apr_2024,BPI5TC,15725
1/26/2024,Q0,Q_1_2024,BPI5TC,14125
1/26/2024,Q1,Q_2_2024,BPI5TC,15675
1/26/2024,Q2,Q_3_2024,BPI5TC,14300
1/26/2024,Q3,Q_4_2024,BPI5TC,14118
1/26/2024,Y0,Y_2024,BPI5TC,14537.5
1/26/2024,Y1,Y_2025,BPI5TC,12575
1/26/2024,Y2,Y_2026,BPI5TC,12054
1/26/2024,Y3,Y_2027,BPI5TC,11900
1/29/2024,M0,M_Jan_2024,BPI5TC,13025
1/29/2024,M1,M_Feb_2024,BPI5TC,13150
1/29/2024,M2,M_Mar_2024,BPI5TC,15450
1/29/2024,M3,M_Apr_2024,BPI5TC,15700
1/29/2024,Q0,Q_1_2024,BPI5TC,13875
1/29/2024,Q1,Q_2_2024,BPI5TC,15600
1/29/2024,Q2,Q_3_2024,BPI5TC,14275
1/29/2024,Q3,Q_4_2024,BPI5TC,14007
1/29/2024,Y0,Y_2024,BPI5TC,14437.5
1/29/2024,Y1,Y_2025,BPI5TC,12525
1/29/2024,Y2,Y_2026,BPI5TC,11989
1/29/2024,Y3,Y_2027,BPI5TC,11846
1/30/2024,M0,M_Jan_2024,BPI5TC,13025
1/30/2024,M1,M_Feb_2024,BPI5TC,12550
1/30/2024,M2,M_Mar_2024,BPI5TC,14900
1/30/2024,M3,M_Apr_2024,BPI5TC,15625
1/30/2024,Q0,Q_1_2024,BPI5TC,13512.5
1/30/2024,Q1,Q_2_2024,BPI5TC,15375
1/30/2024,Q2,Q_3_2024,BPI5TC,14250
1/30/2024,Q3,Q_4_2024,BPI5TC,14061
1/30/2024,Y0,Y_2024,BPI5TC,14275
1/30/2024,Y1,Y_2025,BPI5TC,12500
1/30/2024,Y2,Y_2026,BPI5TC,12007
1/30/2024,Y3,Y_2027,BPI5TC,11839
1/31/2024,M0,M_Jan_2024,BPI5TC,12325
1/31/2024,M1,M_Feb_2024,BPI5TC,14775
1/31/2024,M2,M_Mar_2024,BPI5TC,15625
1/31/2024,M3,M_Apr_2024,BPI5TC,15625
1/31/2024,Q0,Q_1_2024,BPI5TC,13500
1/31/2024,Q1,Q_2_2024,BPI5TC,15350
1/31/2024,Q2,Q_3_2024,BPI5TC,14225
1/31/2024,Q3,Q_4_2024,BPI5TC,14104
1/31/2024,Y0,Y_2024,BPI5TC,14275
1/31/2024,Y1,Y_2025,BPI5TC,12775
1/31/2024,Y2,Y_2026,BPI5TC,12100
1/31/2024,Y3,Y_2027,BPI5TC,11918
2/1/2024,M0,M_Feb_2024,BPI5TC,12225
2/1/2024,M1,M_Mar_2024,BPI5TC,14875
2/1/2024,M2,M_Apr_2024,BPI5TC,15650
2/1/2024,M3,M_May_2024,BPI5TC,15875
2/1/2024,Q0,Q_1_2024,BPI5TC,13500
2/1/2024,Q1,Q_2_2024,BPI5TC,15625
2/1/2024,Q2,Q_3_2024,BPI5TC,14375
2/1/2024,Q3,Q_4_2024,BPI5TC,14232
2/1/2024,Y0,Y_2024,BPI5TC,14275
2/1/2024,Y1,Y_2025,BPI5TC,12825
2/1/2024,Y2,Y_2026,BPI5TC,12139
2/1/2024,Y3,Y_2027,BPI5TC,11968
2/2/2024,M0,M_Feb_2024,BPI5TC,11900
2/2/2024,M1,M_Mar_2024,BPI5TC,14575
2/2/2024,M2,M_Apr_2024,BPI5TC,15600
2/2/2024,M3,M_May_2024,BPI5TC,15625
2/2/2024,Q0,Q_1_2024,BPI5TC,13500
2/2/2024,Q1,Q_2_2024,BPI5TC,15500
2/2/2024,Q2,Q_3_2024,BPI5TC,14500
